Year,SDR (average),SDR (end year),$USD (average),USD (end year),Pound Sterling (average),Pound Sterling (end year),Deutsche Mark/Euro (average),Deutsche Mark/Euro (end year),Japanese Yen (average),Japanese Yen (end year)
1990-91,24.8431,26.4140,17.9428,19.6429,33.1930,34.0500,11.4351,11.4270,12.7900,13.9000
1991-92,33.4325,35.5143,24.4737,31.2256,42.5151,53.6913,14.6248,18.3501,18.4400,23.2800
1992-93,37.1415,43.6511,30.6488,31.2354,51.6858,46.6200,19.5877,19.2864,24.5900,26.9900
1993-94,43.8863,44.3133,31.3655,31.3725,47.2064,46.5200,18.7403,18.7575,29.1100,35.5200
1994-95,45.7908,49.1558,31.3986,31.4950,48.8211,50.5650,20.2017,22.3600,31.6341,35.2888
1995-96,50.4768,50.1633,33.4498,34.3500,52.3526,52.4300,23.3993,23.3038,34.8425,32.2975
1996-97,50.8858,49.8032,35.4999,35.9150,56.3646,58.6938,22.9244,21.3863,31.5879,28.9463
1997-98,50.6735,52.7677,37.1648,39.4950,61.0240,66.1638,20.9613,21.3350,30.2990,29.7813
1998-99,57.5129,57.6132,42.0706,42.4350,69.5505,68.3588,24.1792,23.2863,33.1341,35.3263
1999-00,58.9335,58.7505,43.3327,43.6050,69.8510,69.5100,44.7909,41.7975,39.0606,41.4825
